Day,Date,Title,Link
Tuesday, 25 June 2019,"KDE Plasma 5.16.2, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.16.2/
Tuesday, 18 June 2019,"KDE Plasma 5.16.1, Bugfix Release for June",https://kde.org/announcements/plasma/5/5.16.1/
Tuesday, 11 June 2019,"KDE Plasma 5.16: Now Smoother and More Fun",https://kde.org/announcements/plasma/5/5.16.0/
Saturday, 8 June 2019,"Release of KDE Frameworks 5.59.0",https://kde.org/announcements/frameworks/5/5.59.0/
Thursday, 6 June 2019,"KDE Ships KDE Applications 19.04.2",https://kde.org/announcements/applications/19.04.2/
Thursday, 16 May 2019,"KDE Plasma 5.16 Beta: Your Three Week Notification of a More Tidy and Composed Desktop",https://kde.org/announcements/plasma/5/5.15.90/
Monday, 13 May 2019,"Release of KDE Frameworks 5.58.0",https://kde.org/announcements/frameworks/5/5.58.0/
Thursday, 9 May 2019,"KDE Ships KDE Applications 19.04.1",https://kde.org/announcements/applications/19.04.1/
Tuesday, 7 May 2019,"KDE Plasma 5.15.5, Bugfix Release for May",https://kde.org/announcements/plasma/5/5.15.5/
Thursday, 18 April 2019,"KDE Ships KDE Applications 19.04.0",https://kde.org/announcements/applications/19.04.0/
Saturday, 13 April 2019,"Release of KDE Frameworks 5.57.0",https://kde.org/announcements/frameworks/5/5.57.0/
Friday, 5 April 2019,"KDE Ships Release Candidate of KDE Applications 19.04",https://kde.org/announcements/applications/19.04-rc/
Tuesday, 2 April 2019,"KDE Plasma 5.15.4, Bugfix Release for April",https://kde.org/announcements/plasma/5/5.15.4/
Friday, 22 March 2019,"KDE Ships Beta of KDE Applications 19.04",https://kde.org/announcements/applications/19.04-beta/
Tuesday, 12 March 2019,"KDE Plasma 5.15.3, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.15.3/
Saturday, 9 March 2019,"Release of KDE Frameworks 5.56.0",https://kde.org/announcements/frameworks/5/5.56.0/
Thursday, 7 March 2019,"KDE Ships KDE Applications 18.12.3",https://kde.org/announcements/applications/18.12.3/
Tuesday, 5 March 2019,"KDE Plasma 5.12.8, Bugfix Release for March",https://kde.org/announcements/plasma/5/5.12.8/
Tuesday, 26 February 2019,"KDE Plasma 5.15.2, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.15.2/
Tuesday, 19 February 2019,"KDE Plasma 5.15.1, Bugfix Release for February",https://kde.org/announcements/plasma/5/5.15.1/
Tuesday, 12 February 2019,"KDE Plasma 5.15: Lightweight, Usable and Productive.",https://kde.org/announcements/plasma/5/5.15.0/
Saturday, 9 February 2019,"Release of KDE Frameworks 5.55.0",https://kde.org/announcements/frameworks/5/5.55.0/
Thursday, 7 February 2019,"KDE Ships KDE Applications 18.12.2",https://kde.org/announcements/applications/18.12.2/
Thursday, 17 January 2019,"KDE Plasma 5.15 Beta: Lightweight, Usable and Productive.",https://kde.org/announcements/plasma/5/5.14.90/
Saturday, 12 January 2019,"Release of KDE Frameworks 5.54.0",https://kde.org/announcements/frameworks/5/5.54.0/
Thursday, 10 January 2019,"KDE Ships KDE Applications 18.12.1",https://kde.org/announcements/applications/18.12.1/
Tuesday, 8 January 2019,"KDE Plasma 5.14.5, Bugfix Release for January",https://kde.org/announcements/plasma/5/5.14.5/
