Day,Date,Title,Link
Thursday, 10 July 2014,"KDE Ships First Beta of Applications and Platform 4.14",https://kde.org/announcements/4/4.14-beta1/
Tuesday, 8 July 2014,"KDE Ships Release Candidate of Plasma 5",https://kde.org/announcements/plasma/5/5.0-rc/
Monday, 7 July 2014,"First release of KDE Frameworks 5",https://kde.org/announcements/frameworks/5/5.0.0/
Tuesday, 10 June 2014,"KDE Ships June Updates to Applications, Platform and Plasma Workspaces",https://kde.org/announcements/4/4.13.2/
Tuesday, 10 June 2014,"KDE Ships Second Beta of Next Generation Plasma Workspace",https://kde.org/announcements/plasma/5/5.0-beta2/
Thursday, 5 June 2014,"KDE Ships Third Beta of Frameworks 5",https://kde.org/announcements/frameworks/5-beta3/
Wednesday, 14 May 2014,"KDE Ships First Beta of Next Generation Plasma Workspace",https://kde.org/announcements/plasma/next-beta1/
Tuesday, 13 May 2014,"KDE Ships May Updates to Applications and Platform",https://kde.org/announcements/4/4.13.1/
Tuesday, 29 April 2014,"KDE Ships April Updates to Applications, Platform and Plasma Workspaces",https://kde.org/announcements/4/4.12.5/
Wednesday, 16 April 2014,"KDE Software Compilation 4.13",https://kde.org/announcements/4/4.13.0/
Wednesday, 2 April 2014,"KDE Ships First Alpha of Next Generation Plasma Workspace",https://kde.org/announcements/plasma/2014.6-alpha1/
Tuesday, 1 April 2014,"KDE Ships April Updates to Applications, Platform and Plasma Workspaces",https://kde.org/announcements/4/4.12.4/
Tuesday, 1 April 2014,"KDE Ships First Beta of Frameworks 5",https://kde.org/announcements/frameworks/5-beta1/
Thursday, 27 March 2014,"KDE Ships Release Candidate of Applications and Platform 4.13",https://kde.org/announcements/4/4.13-rc/
Thursday, 20 March 2014,"KDE Ships February Updates to Applications, Platform and Plasma Workspaces",https://kde.org/announcements/4/4.13-beta3/
Thursday, 13 March 2014,"KDE Ships Second Beta of Applications and Platform 4.13",https://kde.org/announcements/4/4.13-beta2/
Thursday, 6 March 2014,"KDE Ships First Beta of Applications and Platform 4.13",https://kde.org/announcements/4/4.13-beta1/
Tuesday, 4 March 2014,"KDE Ships February Updates to Applications, Platform and Plasma Workspaces",https://kde.org/announcements/4/4.12.3/
Monday, 3 March 2014,"KDE Ships Second Alpha of Frameworks 5",https://kde.org/announcements/frameworks/5-alpha2/
Friday, 14 February 2014,"KDE Ships First Alpha of Frameworks 5",https://kde.org/announcements/frameworks/5-alpha/
Tuesday, 4 February 2014,"KDE Ships February Updates to Applications, Platform and Plasma Workspaces",https://kde.org/announcements/4/4.12.2/
Tuesday, 14 January 2014,"KDE Ships January Updates to Applications and Platform",https://kde.org/announcements/4/4.12.1/
Tuesday, 7 January 2014,"Frameworks 5 Technology Preview",https://kde.org/announcements/frameworks/5-tp/
Tuesday, 7 January 2014,"KDE Announces 4.11.5",https://kde.org/announcements/4/4.11.5/
Friday, 20 December 2013,"Plasma 2 Technology Preview and Plasma Media Center 1.2.0",https://kde.org/announcements/plasma/2-tp/
Wednesday, 18 December 2013,"KDE Software Compilation 4.12",https://kde.org/announcements/4/4.12.0/
Tuesday, 3 December 2013,"KDE Ships December Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.11.4/
Thursday, 28 November 2013,"KDE Ships Release Candidate of Applications and Platform 4.12",https://kde.org/announcements/4/4.12-rc/
Thursday, 21 November 2013,"KDE Ships Third Beta of Applications and Platform 4.12",https://kde.org/announcements/4/4.12-beta3/
Thursday, 14 November 2013,"KDE Ships Second Beta of Applications and Platform 4.12",https://kde.org/announcements/4/4.12-beta2/
Thursday, 7 November 2013,"KDE Ships First Beta of Applications and Platform 4.12",https://kde.org/announcements/4/4.12-beta1/
Tuesday, 5 November 2013,"KDE Ships November Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.11.3/
Tuesday, 1 October 2013,"KDE Ships October Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.11.2/
Tuesday, 3 September 2013,"KDE Ships September Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.11.1/
Wednesday, 14 August 2013,"KDE Software Compilation 4.11",https://kde.org/announcements/4/4.11.0/
Thursday, 25 July 2013,"KDE Ships Second Release Candidate of Plasma Workspaces, Applications and Platform 4.11",https://kde.org/announcements/4/4.11-rc2/
Tuesday, 16 July 2013,"KDE Ships First Release Candidate of Plasma Workspaces, Applications and Platform 4.11",https://kde.org/announcements/4/4.11-rc1/
Tuesday, 2 July 2013,"KDE Ships July Updates to Applications, Platform and Plasma Workspaces",https://kde.org/announcements/4/4.10.5/
Thursday, 27 June 2013,"KDE Ships Second Beta of Plasma Workspaces, Applications and Platform 4.11",https://kde.org/announcements/4/4.11-beta2/
Thursday, 13 June 2013,"KDE Ships First Beta of Plasma Workspaces, Applications and Platform 4.11",https://kde.org/announcements/4/4.11-beta1/
Tuesday, 4 June 2013,"KDE Ships June Updates to Applications, Platform and Plasma Workspaces",https://kde.org/announcements/4/4.10.4/
Tuesday, 7 May 2013,"KDE Ships May Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.10.3/
Tuesday, 2 April 2013,"KDE Ships April Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.10.2/
Tuesday, 5 March 2013,"KDE Ships March Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.10.1/
Wednesday, 6 February 2013,"KDE Software Compilation 4.10",https://kde.org/announcements/4/4.10.0/
Friday, 18 January 2013,"KDE Ships Third Release Candidate of Applications, Platform and Plasma Workspaces 4.10",https://kde.org/announcements/4/4.10-rc3/
Friday, 4 January 2013,"KDE Ships Second Release Candidate of Applications, Platform and Plasma Workspaces 4.10",https://kde.org/announcements/4/4.10-rc2/
Wednesday, 2 January 2013,"KDE Ships January Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.9.5/
Wednesday, 19 December 2012,"KDE Ships First Release Candidate of Plasma Workspaces, Applications and Platform 4.10",https://kde.org/announcements/4/4.10-rc1/
Wednesday, 5 December 2012,"KDE Release 4.9 – in memory of Claire Lotion",https://kde.org/announcements/4/4.9.0/
Wednesday, 5 December 2012,"KDE Ships December Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.9.4/
Tuesday, 4 December 2012,"KDE Ships Second Beta of Plasma Workspaces, Applications and Platform 4.10",https://kde.org/announcements/4/4.10-beta2/
Wednesday, 21 November 2012,"KDE Ships First Beta of Plasma Workspaces, Applications and Platform 4.10",https://kde.org/announcements/4/4.10-beta1/
Tuesday, 6 November 2012,"KDE Ships November Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.9.3/
Monday, 15 October 2012,"Plasma Active 3 Improves Performance, Brings New Apps",https://kde.org/announcements/plasma-mobile/plasma-active-three/
Tuesday, 2 October 2012,"KDE Ships October Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.9.2/
Tuesday, 4 September 2012,"KDE Ships September Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.9.1/
Monday, 6 August 2012,"KDE Ships August Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.8.5/
Wednesday, 11 July 2012,"KDE Announces 4.9 RC2",https://kde.org/announcements/4/4.9-rc2/
Wednesday, 27 June 2012,"KDE Announces 4.9 RC1",https://kde.org/announcements/4/4.9-rc1/
Wednesday, 13 June 2012,"KDE Announces 4.9 Beta2",https://kde.org/announcements/4/4.9-beta2/
Friday, 8 June 2012,"KDE Ships June Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.8.4/
Monday, 4 June 2012,"KDE Announces 4.9 Beta1 and Testing Initiative",https://kde.org/announcements/4/4.9-beta1/
Friday, 4 May 2012,"KDE Ships May Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.8.3/
Wednesday, 4 April 2012,"KDE Ships April Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.8.2/
Wednesday, 7 March 2012,"KDE Ships March Updates to Plasma Workspaces, Applications and Platform",https://kde.org/announcements/4/4.8.1/
Wednesday, 25 January 2012,"KDE Plasma Workspaces, Applications and Platform 4.8 Improve User Experience",https://kde.org/announcements/4/4.8.0/
Wednesday, 4 January 2012,"KDE Makes Second 4.8 Release Candidate Available",https://kde.org/announcements/4/4.8-rc2/
Thursday, 22 December 2011,"KDE Makes First 4.8 Release Candidate Available, Adds Secret Service",https://kde.org/announcements/4/4.8-rc1/
Wednesday, 14 December 2011,"Plasma Active Two Boosts Performance, New Features",https://kde.org/announcements/plasma-mobile/plasma-active-two/
Wednesday, 7 December 2011,"KDE Makes 4.8 Beta2 Available for Testing",https://kde.org/announcements/4/4.8-beta2/
Wednesday, 7 December 2011,"KDE's December Updates Conclude 4.7 Series",https://kde.org/announcements/4/4.7.4/
Wednesday, 2 November 2011,"KDE Makes 4.8 Beta1 Available for Testing",https://kde.org/announcements/4/4.8-beta1/
Wednesday, 2 November 2011,"KDE's November Updates Improve Nepomuk Stability",https://kde.org/announcements/4/4.7.3/
Sunday, 9 October 2011,"Plasma Active One Arrives!",https://kde.org/announcements/plasma-mobile/plasma-active-one/
Wednesday, 5 October 2011,"KDE's October Updates Improve Kontact Performance",https://kde.org/announcements/4/4.7.2/
Wednesday, 7 September 2011,"KDE Ships September Updates",https://kde.org/announcements/4/4.7.1/
Wednesday, 27 July 2011,"New KDE Applications, Workspaces and Development Platform Releases Bring New Features, Improve Stability",https://kde.org/announcements/4/4.7.0/
Monday, 11 July 2011,"KDE Shows Second Release Candidate of Summer Release",https://kde.org/announcements/4/4.7-rc2/
Thursday, 7 July 2011,"KDE Ships July Updates",https://kde.org/announcements/4/4.6.5/
Saturday, 25 June 2011,"KDE Shows Release Candidate of Summer Release",https://kde.org/announcements/4/4.7-rc1/
Friday, 10 June 2011,"New Kontact Suite Brings Next-Gen Groupware to Desktop and Mobile",https://kde.org/announcements/4/4.6.4/
Wednesday, 25 May 2011,"KDE Shows Beta of Summer Release",https://kde.org/announcements/4/4.7-beta1/
Friday, 6 May 2011,"KDE Ships May Updates",https://kde.org/announcements/4/4.6.3/
Wednesday, 6 April 2011,"KDE Ships April Updates, Codename: Congrats",https://kde.org/announcements/4/4.6.2/
Friday, 4 March 2011,"KDE Ships March Updates",https://kde.org/announcements/4/4.6.1/
Wednesday, 26 January 2011,"KDE Puts You In Control with New Workspaces, Applications and Platform",https://kde.org/announcements/4/4.6.0/
Friday, 7 January 2011,"KDE Ships January Updates",https://kde.org/announcements/4/4.5.5/
Wednesday, 5 January 2011,"KDE Plasma, Applications and Development Platform 4.6 RC2 Available",https://kde.org/announcements/4/4.6-rc2/
Thursday, 23 December 2010,"KDE Software Compilation 4.6 RC1 Release Announcement",https://kde.org/announcements/4/4.6-rc1/
Wednesday, 8 December 2010,"KDE Software Compilation 4.6 Beta2 Release Announcement",https://kde.org/announcements/4/4.6-beta2/
Thursday, 2 December 2010,"December Updates Stabilize KDE 4.5 Further",https://kde.org/announcements/4/4.5.4/
Thursday, 25 November 2010,"4.6 Beta1 Brings Improved Search, Activities and Mobile Device Support",https://kde.org/announcements/4/4.6-beta1/
Wednesday, 3 November 2010,"KDE Ships November Updates",https://kde.org/announcements/4/4.5.3/
Tuesday, 5 October 2010,"KDE Software Compilation 4.5.2 Release Announcement",https://kde.org/announcements/4/4.5.2/
Tuesday, 31 August 2010,"KDE Software Compilation 4.5.1 Release Announcement",https://kde.org/announcements/4/4.5.1/
Tuesday, 10 August 2010,"KDE Releases Development Platform, Applications and Plasma Workspaces 4.5.0",https://kde.org/announcements/4/4.5.0/
Monday, 26 July 2010,"KDE Software Compilation 4.5 RC3 Release Announcement",https://kde.org/announcements/4/4.5-rc3/
Thursday, 8 July 2010,"KDE Software Compilation 4.5 RC2 Release Announcement",https://kde.org/announcements/4/4.5-rc2/
Wednesday, 30 June 2010,"KDE Software Compilation 4.4.5 Release Announcement",https://kde.org/announcements/4/4.4.5/
Sunday, 27 June 2010,"KDE Software Compilation 4.5 RC1 Release Announcement",https://kde.org/announcements/4/4.5-rc1/
Wednesday, 9 June 2010,"KDE Software Compilation 4.5 beta 2",https://kde.org/announcements/4/4.5-beta2/
Tuesday, 1 June 2010,"KDE Software Compilation 4.4.4 Release Announcement",https://kde.org/announcements/4/4.4.4/
Wednesday, 26 May 2010,"KDE Software Compilation 4.5 beta 1",https://kde.org/announcements/4/4.5-beta1/
Wednesday, 5 May 2010,"KDE Software Compilation 4.4.3 Release Announcement",https://kde.org/announcements/4/4.4.3/
Tuesday, 30 March 2010,"KDE Software Compilation 4.4.2 Release Announcement",https://kde.org/announcements/4/4.4.2/
Tuesday, 2 March 2010,"KDE Software Compilation 4.4.1 Release Announcement",https://kde.org/announcements/4/4.4.1/
Tuesday, 9 February 2010,"KDE SC 4.4.0 Caikaku Release Announcement",https://kde.org/announcements/4/4.4.0/
Monday, 1 February 2010,"Software Compilation 4.4 RC3 Release Announcement",https://kde.org/announcements/4/4.4-rc3/
Tuesday, 26 January 2010,"KDE Software Compilation 4.3.5 Release Announcement",https://kde.org/announcements/4/4.3.5/
Monday, 25 January 2010,"Software Compilation 4.4 RC2 Release Announcement",https://kde.org/announcements/4/4.4-rc2/
Friday, 8 January 2010,"Software Compilation 4.4 RC1 Release Announcement",https://kde.org/announcements/4/4.4-rc1/
Monday, 21 December 2009,"Software Compilation 4.4 Beta 2 Release Announcement",https://kde.org/announcements/4/4.4-beta2/
Friday, 4 December 2009,"Software Compilation 4.4 Beta1 Release Announcement",https://kde.org/announcements/4/4.4-beta1/
Tuesday, 1 December 2009,"KDE Software Compilation 4.3.4 Release Announcement",https://kde.org/announcements/4/4.3.4/
Tuesday, 3 November 2009,"KDE 4.3.3 Release Announcement",https://kde.org/announcements/4/4.3.3/
Tuesday, 6 October 2009,"KDE 4.3.2 Release Announcement",https://kde.org/announcements/4/4.3.2/
Tuesday, 1 September 2009,"KDE 4.3.1 Release Announcement",https://kde.org/announcements/4/4.3.1/
Tuesday, 4 August 2009,"Anonçaedje del rexhowe di KDE 4.3.0",https://kde.org/announcements/4/4.3.0.wa/
Tuesday, 4 August 2009,"KDE 4.3.0 Caizen Release Announcement",https://kde.org/announcements/4/4.3.0/
Wednesday, 22 July 2009,"KDE 4.3 RC3 Release Announcement",https://kde.org/announcements/4/4.3-rc3/
Thursday, 9 July 2009,"KDE 4.3 RC2 Release Announcement",https://kde.org/announcements/4/4.3-rc2/
Wednesday, 1 July 2009,"KDE 4.3 RC1 Release Announcement",https://kde.org/announcements/4/4.3-rc1/
Wednesday, 10 June 2009,"KDE 4.3 Beta 2 Release Announcement",https://kde.org/announcements/4/4.3-beta2/
Wednesday, 3 June 2009,"KDE 4.2.4 Release Announcement",https://kde.org/announcements/4/4.2.4/
Wednesday, 13 May 2009,"KDE 4.3 Beta 1 Release Announcement",https://kde.org/announcements/4/4.3-beta1/
Wednesday, 6 May 2009,"KDE 4.2.3 Release Announcement",https://kde.org/announcements/4/4.2.3/
Thursday, 2 April 2009,"KDE 4.2.2 Release Announcement",https://kde.org/announcements/4/4.2.2/
Wednesday, 4 March 2009,"KDE 4.2.1 Release Announcement",https://kde.org/announcements/4/4.2.1/
Tuesday, 27 January 2009,"KDE 4.2.0 Release Announcement",https://kde.org/announcements/4/4.2.0.he/
Tuesday, 27 January 2009,"KDE 4.2.0 Release Announcement",https://kde.org/announcements/4/4.2.0/
Tuesday, 27 January 2009,"KDE ૪.૨.૦ પ્રકાશન જાહેરાત",https://kde.org/announcements/4/4.2.0.gu/
Tuesday, 27 January 2009,"കെഡിഇ 4.2.0 പ്രകാശനക്കുറിപ്പു്",https://kde.org/announcements/4/4.2.0.ml/
Tuesday, 13 January 2009,"KDE 4.1.4 Release Announcementt",https://kde.org/announcements/4/4.1.4/
Tuesday, 13 January 2009,"KDE 4.2 RC Release Announcement",https://kde.org/announcements/4/4.2-rc/
Tuesday, 16 December 2008,"KDE 4.2 Beta 2 Release Announcement",https://kde.org/announcements/4/4.2-beta2/
Wednesday, 26 November 2008,"KDE 4.2 Beta 1 Release Announcement",https://kde.org/announcements/4/4.2-beta1/
Wednesday, 5 November 2008,"KDE 4.1.3 Release Announcement",https://kde.org/announcements/4/4.1.3/
Sunday, 12 October 2008,"KDE Launches User Forum",https://kde.org/announcements/forum/
Friday, 3 October 2008,"KDE 4.1.2 Release Announcement",https://kde.org/announcements/4/4.1.2/
Wednesday, 3 September 2008,"KDE 4.1.1 Release Announcement",https://kde.org/announcements/4/4.1.1/
Tuesday, 26 August 2008,"KDE 3.5.10 Release Announcement",https://kde.org/announcements/1-2-3/3.5.10/
Tuesday, 29 July 2008,"KDE 4.1 Release Announcement",https://kde.org/announcements/4/4.1.0/
Tuesday, 29 July 2008,"കെഡിഇ 4.1 പതിപ്പു് പുറത്തിറങ്ങുന്നു",https://kde.org/announcements/4/4.1.0.ml/
Tuesday, 15 July 2008,"KDE 4.1 RC1 Release Announcement",https://kde.org/announcements/4/4.1-rc1/
Tuesday, 24 June 2008,"KDE 4.1 Beta 2 Release Announcement",https://kde.org/announcements/4/4.1-beta2/
Wednesday, 4 June 2008,"KDE 4.0.5 Release Announcement",https://kde.org/announcements/4/4.0.5/
Tuesday, 27 May 2008,"KDE 4.1 Beta1 Release Announcement",https://kde.org/announcements/4/4.1-beta1/
Wednesday, 7 May 2008,"KDE 4.0.4 Release Announcement",https://kde.org/announcements/4/4.0.4/
Tuesday, 29 April 2008,"KDE 4.1 Alpha1 Release Announcement",https://kde.org/announcements/4/4.1-alpha1/
Friday, 4 April 2008,"KDE and Wikimedia Start Collaboration",https://kde.org/announcements/kde-and-wikimedia-collaborate/
Wednesday, 2 April 2008,"KDE 4.0.3 Release Announcement",https://kde.org/announcements/4/4.0.3/
Wednesday, 5 March 2008,"KDE 4.0.2 Release Announcement",https://kde.org/announcements/4/4.0.2/
Wednesday, 5 March 2008,"KDE 4.0.2 Release Announcement",https://kde.org/announcements/4/4.0.2.ro/
Tuesday, 19 February 2008,"KDE 3.5.9 Release Announcement",https://kde.org/announcements/1-2-3/3.5.9/
Tuesday, 5 February 2008,"Anunţul de lansare KDE 4.0.1",https://kde.org/announcements/4/4.0.1.ro/
Tuesday, 5 February 2008,"KDE 4.0.1 Release Announcement",https://kde.org/announcements/4/4.0.1/
Friday, 11 January 2008,"KDE 4.0 izlaists",https://kde.org/announcements/4/4.0.lv/
Friday, 11 January 2008,"KDE 4.0 Lansat",https://kde.org/announcements/4/4.0.ro/
Friday, 11 January 2008,"KDE 4.0 Released",https://kde.org/announcements/4/4.0.hi/
Friday, 11 January 2008,"KDE 4.0 Released",https://kde.org/announcements/4/4.0/
Friday, 11 January 2008,"KDE 4.0 שוחררה",https://kde.org/announcements/4/4.0.he/
Friday, 11 January 2008,"KDE 4.0 প্রকাশিত হয়েছে",https://kde.org/announcements/4/4.0.bn/
Friday, 11 January 2008,"KDE 4.0 ਰੀਲਿਜ਼ ਹੋਇਆ",https://kde.org/announcements/4/4.0.pa/
Friday, 11 January 2008,"KDE ૪.૦ રજૂ થયેલ છે",https://kde.org/announcements/4/4.0.gu/
Friday, 11 January 2008,"Vydáno KDE 4.0",https://kde.org/announcements/4/4.0.cz/
Friday, 11 January 2008,"கேடியீ நான்கு வெளிடப் பட்டது",https://kde.org/announcements/4/4.0.ta/
Friday, 11 January 2008,"കെഡിഇ 4.0 പുറത്തിറങ്ങി",https://kde.org/announcements/4/4.0.ml/
Tuesday, 11 December 2007,"KDE 4.0 Release Candidate 2",https://kde.org/announcements/4/4.0-rc2/
Tuesday, 20 November 2007,"KDE 4.0 Release Candidate 1",https://kde.org/announcements/4/4.0-rc1/
Tuesday, 30 October 2007,"KDE 4.0 Beta 4",https://kde.org/announcements/4/4.0-beta4/
Tuesday, 30 October 2007,"KDE 4.0 Platform Release Candidate 1",https://kde.org/announcements/4/4.0-platform-rc1/
Wednesday, 17 October 2007,"KDE 4.0 Beta 3 Release Announcement",https://kde.org/announcements/4/4.0-beta3/
Tuesday, 16 October 2007,"KDE 3.5.8 Release Announcement",https://kde.org/announcements/1-2-3/3.5.8/
Thursday, 6 September 2007,"KDE 4.0 Beta 2 Release Announcement",https://kde.org/announcements/4/4.0-beta2/
Wednesday, 4 July 2007,"KDE 4.0-alpha2 Release Announcement",https://kde.org/announcements/4/4.0-alpha2/
Tuesday, 22 May 2007,"KDE 3.5.7 Release Announcement",https://kde.org/announcements/1-2-3/3.5.7/
Tuesday, 22 May 2007,"KDE 4.0 Beta 1 Release Announcement",https://kde.org/announcements/4/4.0-beta1/
Friday, 11 May 2007,"KDE 4.0-alpha1 Release Announcement",https://kde.org/announcements/4/4.0-alpha1/
Thursday, 25 January 2007,"KDE 3.5.6 Release Announcement",https://kde.org/announcements/1-2-3/3.5.6/
Saturday, 14 October 2006,"KDE Project Announced",https://kde.org/announcements/announcement/
Wednesday, 11 October 2006,"KDE 3.5.5 Release Announcement",https://kde.org/announcements/1-2-3/3.5.5/
Saturday, 23 September 2006,"aKademy 2006 kicked off",https://kde.org/announcements/akademy2006-kicked-off/
Monday, 18 September 2006,"aKademy 2006 Schedule Finalized",https://kde.org/announcements/akademy2006-schedule-finalized/
Wednesday, 2 August 2006,"KDE 3.5.4 Release Announcement",https://kde.org/announcements/1-2-3/3.5.4/
Wednesday, 31 May 2006,"KDE 3.5.3 Release Announcement",https://kde.org/announcements/1-2-3/3.5.3/
Tuesday, 9 May 2006,"KDE e.V. Becomes Associate Member of FSFE",https://kde.org/announcements/fsfe-associate-member/
Tuesday, 28 March 2006,"KDE 3.5.2 Release Announcement",https://kde.org/announcements/1-2-3/3.5.2/
Tuesday, 31 January 2006,"KDE 3.5.1 Release Announcement",https://kde.org/announcements/1-2-3/3.5.1/
Tuesday, 29 November 2005,"K Desktop Environment 3.5 Released",https://kde.org/announcements/1-2-3/3.5/
Tuesday, 18 October 2005,"Announcing KDE 3.5 Beta 2 (\"Koalition\")",https://kde.org/announcements/1-2-3/3.5-beta2/
Thursday, 13 October 2005,"KDE 3.4.3 Release Announcement",https://kde.org/announcements/1-2-3/3.4.3/
Wednesday, 21 September 2005,"Announcing KDE 3.5 Beta 1 (\"Kanzler\")",https://kde.org/announcements/1-2-3/3.5-beta1/
Thursday, 28 July 2005,"KDE 3.4.2 Release Announcement",https://kde.org/announcements/1-2-3/3.4.2/
Tuesday, 31 May 2005,"KDE 3.4.1 Release Announcement",https://kde.org/announcements/1-2-3/3.4.1/
Wednesday, 16 March 2005,"Announcing KDE 3.4",https://kde.org/announcements/1-2-3/3.4/
Wednesday, 9 February 2005,"Announcing KDE 3.4 Beta 2 (\"Keinstein\")",https://kde.org/announcements/1-2-3/3.4-beta2/
Thursday, 13 January 2005,"Announcing KDE 3.4 Beta 1 (\"Krokodile\")",https://kde.org/announcements/1-2-3/3.4-beta1/
Wednesday, 8 December 2004,"KDE 3.3.2 Release Announcement",https://kde.org/announcements/1-2-3/3.3.2/
Tuesday, 12 October 2004,"KDE 3.3.1 Release Announcement",https://kde.org/announcements/1-2-3/3.3.1/
Thursday, 19 August 2004,"Announcing KDE 3.3",https://kde.org/announcements/1-2-3/3.3/
Thursday, 22 July 2004,"Announcing KDE 3.3 Beta 2 (\"Kollege\")",https://kde.org/announcements/1-2-3/3.3-beta2/
Wednesday, 7 July 2004,"Announcing KDE 3.3 Beta 1 ("Klassroom")",https://kde.org/announcements/1-2-3/3.3-beta1/
Wednesday, 9 June 2004,"KDE 3.2.3 Release Announcement",https://kde.org/announcements/1-2-3/3.2.3/
Monday, 19 April 2004,"KDE 3.2.2 Release Announcement",https://kde.org/announcements/1-2-3/3.2.2/
Tuesday, 9 March 2004,"KDE 3.2.1 Release Announcement",https://kde.org/announcements/1-2-3/3.2.1/
Tuesday, 3 February 2004,"Announcing KDE 3.2",https://kde.org/announcements/1-2-3/3.2/
Wednesday, 14 January 2004,"KDE 3.1.5 Release Announcement",https://kde.org/announcements/1-2-3/3.1.5/
Monday, 3 November 2003,"KDE 3.2 Beta 1: Say Hello To Rudi",https://kde.org/announcements/1-2-3/3.2-beta1/
Tuesday, 16 September 2003,"KDE 3.1.4 Release Announcement",https://kde.org/announcements/1-2-3/3.1.4/
Tuesday, 29 July 2003,"KDE 3.1.3 Release Announcement",https://kde.org/announcements/1-2-3/3.1.3/
Monday, 19 May 2003,"KDE 3.1.2 Release Announcement",https://kde.org/announcements/1-2-3/3.1.2/
Thursday, 20 March 2003,"KDE 3.1.1 Release Announcement",https://kde.org/announcements/1-2-3/3.1.1/
Tuesday, 11 March 2003,"KDE@CeBIT 2003",https://kde.org/announcements/cebit2003/
Tuesday, 28 January 2003,"KDE 3.1 Release Announcement",https://kde.org/announcements/1-2-3/3.1/
Saturday, 21 December 2002,"KDE 3.0.5a Release Announcement",https://kde.org/announcements/1-2-3/3.0.5a/
Monday, 18 November 2002,"KDE 3.0.5 Release Announcement",https://kde.org/announcements/1-2-3/3.0.5/
Wednesday, 9 October 2002,"KDE 3.0.4 Release Announcement",https://kde.org/announcements/1-2-3/3.0.4/
Wednesday, 2 October 2002,"KDE 3.1 Second Beta Testing Release",https://kde.org/announcements/1-2-3/3.1-beta2/
Thursday, 22 August 2002,"KDE 3.1 Beta Testing Release",https://kde.org/announcements/1-2-3/3.1-beta1/
Monday, 19 August 2002,"KDE 3.0.3 Release Announcement",https://kde.org/announcements/1-2-3/3.0.3/
Thursday, 11 July 2002,"KDE Project Ships Development Release",https://kde.org/announcements/1-2-3/3.1-alpha1/
Tuesday, 2 July 2002,"KDE 3.0.2 Release Announcement",https://kde.org/announcements/1-2-3/3.0.2/
Wednesday, 22 May 2002,"KDE 3.0.1 Release Announcement",https://kde.org/announcements/1-2-3/3.0.1/
Thursday, 25 April 2002,"Improved Layout, Scriptability and Filters Highlight KOffice Beta Release for GNU/Linux and Other UNIXes",https://kde.org/announcements/koffice-1.2-beta1/
Wednesday, 3 April 2002,"KDE 3.0 Released to public",https://kde.org/announcements/1-2-3/3.0/
Wednesday, 13 February 2002,"KDE 3.0-beta2 Release Announcement",https://kde.org/announcements/1-2-3/3.0-beta2/
Wednesday, 19 December 2001,"KDE 3.0-beta1 Release Announcement",https://kde.org/announcements/1-2-3/3.0-beta1/
Monday, 17 December 2001,"KOffice 1.1.1 Release Announcement",https://kde.org/announcements/koffice-1.1.1/
Wednesday, 21 November 2001,"KDE 2.2.2 Release Announcement",https://kde.org/announcements/1-2-3/2.2.2/
Friday, 5 October 2001,"KDE 3.0-alpha1 Release Announcement",https://kde.org/announcements/1-2-3/3.0-alpha1/
Wednesday, 19 September 2001,"KDE 2.2.1 Release Announcement",https://kde.org/announcements/1-2-3/2.2.1/
Tuesday, 28 August 2001,"KOffice 1.1 Release Announcement",https://kde.org/announcements/koffice-1.1/
Wednesday, 15 August 2001,"KDE 2.2 Released",https://kde.org/announcements/1-2-3/2.2/
Wednesday, 4 July 2001,"KDE 2.2-beta1 Release Announcement",https://kde.org/announcements/1-2-3/2.2-beta1/
Monday, 30 April 2001,"KDE 2.1.2 Release Announcement",https://kde.org/announcements/1-2-3/2.1.2/
Tuesday, 27 March 2001,"KDE 2.1.1 Release Announcement",https://kde.org/announcements/1-2-3/2.1.1/
Monday, 26 February 2001,"KDE 2.1 Release Announcement",https://kde.org/announcements/1-2-3/2.1/
Wednesday, 31 January 2001,"KDE 2.1-beta2 Release Announcement",https://kde.org/announcements/1-2-3/2.1-beta2/
Saturday, 16 December 2000,"KDE 2.1-beta1 Release Announcement",https://kde.org/announcements/1-2-3/2.1-beta1/
Tuesday, 5 December 2000,"KDE 2.0.1 Release Announcement",https://kde.org/announcements/1-2-3/2.0.1/
Monday, 23 October 2000,"KDE 2.0 Release Announcement",https://kde.org/announcements/1-2-3/2.0/
